"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,92,"GLP","Guadeloupe",1,"Basse-Terre","GP.BT",NA,"","Arrondissement","District","",""
2,92,"GLP","Guadeloupe",2,"Pointe-à-Pitre","GP.PP",NA,"","Arrondissement","District","",""
