"island"	"site"
"246"	"GT"	"257"
"247"	"GT"	"258"
"248"	"GT"	"259"
"249"	"GT"	"261"
"250"	"GT"	"262"
"251"	"GT"	"263"
"252"	"GT"	"264"
"253"	"GT"	"266"
"254"	"GT"	"267"
"255"	"GT"	"268"
"256"	"GT"	"269"
"257"	"GT"	"270"
"258"	"GT"	"271"
"259"	"GT"	"272"
"260"	"MG"	"273"
"261"	"MG"	"274"
"262"	"GT"	"275"
"263"	"GT"	"276"
"264"	"GT"	"277"
"265"	"GT"	"278"
"266"	"GT"	"279"
"267"	"GT"	"280"
"268"	"GT"	"281"
"269"	"GT"	"282"
"270"	"MG"	"283"
"271"	"GT"	"284"
"272"	"GT"	"285"
"273"	"GT"	"286"
"274"	"GT"	"287"
"275"	"GT"	"288"
"276"	"GT"	"289"
"277"	"GT"	"290"
"278"	"GT"	"291"
"279"	"GT"	"296"
"280"	"GT"	"298"
"281"	"GT"	"299"
"282"	"GT"	"300"
"283"	"GT"	"301"
"284"	"GT"	"302"
"285"	"GT"	"303"
